osmId,typeOfBuilding,geometry,lat,long,name,operator,brand,openingHours
3698952278,post_office,0101000020E6100000BBFF7EE7CDCF2540AF2C2C13D91C4A40,52.2253746,10.9058678,Post im Nah und gut Markt,unknown,unknown,unknown
3700009925,post_office,0101000020E6100000D55A3DCC03BD22404171B66FA40D4A40,52.1065807,9.3691696,Postfiliale im Getränkeblitz,unknown,unknown,Mo-Fr 09:00-13:00; 14:00-18:00; Sa 09:00-13:00
3700111762,post_office,0101000020E6100000C641F80615FB1B40F12CE68CCDD64A40,53.6781479,6.9951974,Postagentur,EP:Elektro Abel,unknown,unknown
3708710918,post_office,0101000020E6100000F4BA8FEDC6BC2240669D96C4FE224A40,52.2733999,9.3687052,unknown,unknown,unknown,unknown
3710587370,post_office,0101000020E610000006A5C39ED1792440456D76FFB3E74940,51.8101806,10.2379274,Postagentur,Mosig,unknown,unknown
3725234599,post_office,0101000020E61000002E72F49D04CB23400982114592B04A40,53.3794638,9.8965196,Post,unknown,unknown,Mo-Fr 08:00-18:00; Sa 09:00-13:00
3729996551,post_office,0101000020E6100000DF1AD82AC19E2140A9DDAF027C894A40,53.074097,8.8100675,Deutsche Post,Deutsche Postbank AG,Deutsche Post,Mo-Fr 09:00-19:00; Sa 09:00-13:00; Su
3729996552,post_office,0101000020E61000004A97A36C364B214099011D9C3E964A40,53.1737857,8.6468996,Deutsche Post,Deutsche Postbank AG,Deutsche Post,Mo-Fr 09:00-12:30
3729996556,post_office,0101000020E6100000F71B92FF6EDE21404406A85FD8844A40,53.0378532,8.9344406,unknown,Geschenkartikel,Deutsche Post,Mo
3729996597,post_office,0101000020E6100000954D147C2E962140FBC3E0AB67894A40,53.0734763,8.7933234,unknown,Nova International Trading GmbH,Deutsche Post,Mo-Fr 09:00-18:00; Sa 10:00-14:00; Su
3735209903,post_office,0101000020E6100000A76B370BC54F2140D9182AB5CD834A40,53.0297152,8.6558002,unknown,unknown,Deutsche Post,Mo-Fr 06:00-18:00; Sa 07:00-13:00
3735485393,post_office,0101000020E61000005473B9C1506723403743609B43844A40,53.0333132,9.701788,Deutsche Post,Papier Ehlen,unknown,Mo-Fr 08:00-12:00
3743152943,post_office,0101000020E6100000886E51C13CF722406BC2514DA4D34A40,53.6534516,9.4828854,unknown,unknown,DHL,unknown
3743484519,post_office,0101000020E61000005E64A7C41AC32240187FDB1324DB4A40,53.7120385,9.3810636,unknown,unknown,DHL,unknown
3744789951,post_office,0101000020E61000007C50AB43C9A32240EEE016E247E34A40,53.7756312,9.3198949,unknown,unknown,DHL,unknown
3769720157,post_office,0101000020E6100000286211C30E2B21400006820019884A40,53.063263,8.584097,unknown,unknown,unknown,unknown
3786266559,post_office,0101000020E6100000EB4B80AB86022540A0C14B1531A64A40,53.2983729,10.5049337,Hermes Paketshop,unknown,unknown,unknown
3787386873,post_office,0101000020E610000058C4550A262B2640441779FE598B4A40,53.0886839,11.0842746,WendenLaden,WendenLaden,Deutsche Post;DHL,Mo-Fr 08:00-18:00; Sa 08:00-14:00
3804161860,post_office,0101000020E6100000E7278BB102F2224017AC27A902CB4A40,53.5860187,9.4726768,unknown,unknown,DHL,unknown
3812807961,post_office,0101000020E61000000DF8A177CFC2234082E50819C8A94A40,53.326419,9.8804891,Postfiliale im Famila,unknown,unknown,Mo-Sa 07:00-20:30
3815440207,post_office,0101000020E6100000C4E85ECC3BDF24400462C8A0C9A34A40,53.2795907,10.4360031,Postfiliale,Ali Suri,unknown,Mo-Fr 08:00-13:00
3816347737,post_office,0101000020E61000001DF11AAA18F125407A73B8567B114A40,52.1365765,10.9708913,unknown,unknown,unknown,unknown
3817079669,post_office,0101000020E61000002F5F4D5425A42440EACF7EA488F44940,51.91042,10.3205973,unknown,unknown,unknown,unknown
3818060418,post_office,0101000020E6100000B623E6A3D6C12340B6622420CBA94A40,53.3265114,9.8785907,Post,unknown,unknown,unknown
3827679371,post_office,0101000020E61000002C8EB9217CBE244047F58C333CB54A40,53.4158997,10.3720408,unknown,unknown,DHL;Deutsche Post,unknown
3830584208,post_office,0101000020E61000006E57433DD8BD2440350411F3F6074A40,52.0622238,10.3707904,Post Agentur Lumpe,unknown,unknown,unknown
3831807864,post_office,0101000020E61000008FB575262339234009DA8937D7B44A40,53.4128179,9.6115963,unknown,unknown,DHL,unknown
3835134774,post_office,0101000020E61000003B7881EDBBA5224054F71274C5BD4A40,53.4825883,9.3236994,unknown,unknown,DHL,unknown
3836705302,post_office,0101000020E61000004A4739984DC0234077F05D94EAA94A40,53.3274713,9.875592,MailBoxes etc,unknown,unknown,unknown
3838053898,post_office,0101000020E61000001422E010AAC020406A79D44E833B4A40,52.4649447,8.3762975,Paketshop DHL,unknown,unknown,unknown
3841471404,post_office,0101000020E61000009C16612FB9AA22400809AC7713A84A40,53.3130941,9.3334441,unknown,unknown,DHL,unknown
3852617437,post_office,0101000020E61000004C3F3CA649DC1C40BB23AD4214AE4A40,53.3599933,7.2151247,DHL Paketshop,Edeka Camp,unknown,Mo-Sa 08:00-21:00
3875372272,post_office,0101000020E6100000F966406260C6204083829C418D114A40,52.1371233,8.3874541,Poststelle Oermann,unknown,unknown,unknown
3876402702,post_office,0101000020E6100000C2EFF0E890392040BE01C177F6194A40,52.2028341,8.1124337,unknown,unknown,unknown,Mo-Fr 09:00-12:00
3876693818,post_office,0101000020E61000005616E01687DE1C402516E75E16AE4A40,53.3600577,7.2173122,UPS Access Point,Wolfgang Friedrich,unknown,Mo-Fr 05:00-22:00; Sa-Su 06:00-22:00
3876907347,post_office,0101000020E61000002D8DA90540D61C404C13002DA7AE4A40,53.3644768,7.2092286,Hermes Paketshop,Herrmann Ihben,unknown,Mo-Su 07:00-20:00
3887073597,post_office,0101000020E61000005747E92D79CF22404728113C19F34940,51.8992076,9.4052214,unknown,unknown,unknown,unknown
3889241264,post_office,0101000020E610000046F30016F9F51D40C63B1B4D89A64A40,53.3010651,7.490208,Postfiliale im Einzelhandel,Deutsche Post,unknown,Mo-Fr 10:00-12:00; Sa 10:00-11:00; Su off; PH off
3890294510,post_office,0101000020E61000003DA06CCA15BA23403D635FB2F1AC4A40,53.351126,9.8634475,Postfiliale im Famila,unknown,unknown,Mo-Sa 07:00-20:30
